lot_id,original,story,base_mean,love_hint,source_url
1,"上上大吉
關關雎鳩，
在河之洲，
窈窕淑女，
君子好逑。",,此籤求謀。無不遂意。前通後達。百事如意。訟有理。婚必合。行人回。孕生男。風水利。病全安。凡事莫貪。靜處安身可也。,,https://www.manekineko.com.tw/blog/yuelao01
2,"中
落霞與孤鶩齊飛，
秋水共長天一色。",,“落霞與孤鶩齊飛，秋水共長天一色”表達了一種美好的氛圍。在愛情解讀上，可以表示兩人心靈相通，志趣相投，有著共同的目標和追求，共同飛翔在美好的愛情天空中。這籤也暗示著愛情需要平等和相互的尊重，只有這樣，愛情才能長久，如秋水般長流不息。,,https://www.manekineko.com.tw/blog/yuelao02
3,"上上大吉
宗廟享之，
子孫保之。
",,主要意思是“祖先的保佑將使你的後代受益”。在愛情中，這個簽可能意味著你的祖先在天上保佑你，幫助你尋找到一個真正合適的伴侶，或者保護你的愛情使其持久穩定。這個簽還可以提醒你，在你的愛情生活中要時刻銘記你的祖先和家族，珍惜你所擁有的感情，並且願意為它們付出努力和堅持。,,https://www.manekineko.com.tw/blog/yuelao03
4,"中
斯人也，
而有斯疾也。
斯人也，
而有斯疾也。",,這首詩意境深遠，可以從多個角度來理解。其中“斯人”和“斯疾”可能暗示了人類的生命遭遇困境與疾病的磨難，也可能是詩人對自己風流不羈的生活方式的反思和懊悔，具體解讀可以因人而異。,,https://www.manekineko.com.tw/blog/yuelao04
5,"上
逾東家牆而摟其處子，
則得妻。
不摟，
則不得妻。",,描述了一位男子渴望得到心儀女子的方法，描繪了一個具體的場景和行動，但這樣的行為並不被現代社會所鼓勵或接受，因為它侵犯了女性的自主權和尊嚴。因此，我們不應該從這一籤中學習愛情的方法，而應該尊重他人的意願，並遵從現代社會的道德觀念和法律法規。,,https://www.manekineko.com.tw/blog/yuelao05
6,"上吉
風弄竹聲，
只道金佩響。
月移花影，
疑是玉人來。",,月光移動，花影搖曳，讓人誤以為是心愛的人來了。春風吹拂，竹葉隨風搖晃，發出沙沙的聲音，就像遠處聽見了金屬飾品相互碰撞的聲響。日子一天天過去，當看到花影晃動時，心中忍不住猜想，是否是那心中所愛的人要來了。這些景象表明，您的好事已經快要到來。,,https://www.manekineko.com.tw/blog/yuelao06
7,"上
斯是陋室，唯吾德馨。",,,,https://www.manekineko.com.tw/blog/yuelao07
8,"中上
期我乎桑中，
要我乎上宮，
送我乎淇之上也。",,男女之間的婚姻是關乎一生幸福的重大決定。因此，絕不能以不正當或強迫的手段來達成目的。必須用正當的方式去贏得對方的心，並在彼此心甘情願的基礎上完成婚姻。如果違反這些原則，即使結合了，兩人也可能只是表面上的和諧，內心卻疏離不合。因此，千萬不要使用錯誤的方法，否則即使再好的姻緣，也會因此被破壞殆盡。,,https://www.manekineko.com.tw/blog/yuelao08
9,"下
則父母，
國人皆賤之。",,"如果父母像對待草木一樣對待你，輕視了你的意見。請反思自己作為子女，為何讓父母疏遠、唾棄、鄙視自己。
原因有很多，最大的原因是不慎交友。如果自己不小心，可能會造成終生遺憾，因此為人子女者，需謹慎交友，聽從父母及長輩或貴人的意見，同時我們必須謹慎行事。婚姻也是一樣，終生的伴侶必須謹慎選擇。",,https://www.manekineko.com.tw/blog/yuelao09
10,"上
有道是養兒防老，
積穀防饑。",,"自古以來有兩個重要的古訓。第一是養育子女是為了在老年時有個依靠，老了以後，子女可以照顧自己，讓老年生活更有樂趣。平常要節儉，用來積蓄糧食防備饑餓，尤其是養育子女，必須好好教育他們。第二是關於婚姻，結婚成為夫妻後，老年時也能互相照顧。
這兩個古訓強調了家庭的重要性，無論是子女還是伴侶，都在我們的生活中扮演著重要的角色。",,https://www.manekineko.com.tw/blog/yuelao10
11,"中平
自剪芭蕉寫佛經，金蓮無複印中庭
。
清風明月長相憶，玉管朱弦可要聽
，
多病不勝衣更薄，宿妝猶在酒初醒
。
衛星年違別成何事，臥看牽牛織女星
。",,"這段話描繪了一種追憶過往、幻想未來，但卻無濟於事的情景。就像一個多病的人，穿著單薄的衣服，醒來後仍然帶著昨夜醉酒的倦容。不如把握當下，養好自己的身體，有了健康的身體，自然也會有健全的志向隨之而來。只有這樣，才能迎接新的機會。
簡單來說：不要沉溺於過去或空想未來，珍惜當下，重視自己的健康，才能擁有美好的未來。",,https://www.manekineko.com.tw/blog/yuelao11
12,"中
一則以喜，
一則以懼。",,"塵世間的事情往往難以兩全其美，甚至十之八九不如意。在這樣反覆無常的世景下，我們應該如何面對呢？只有面對現實，對事情進行分析，取捨有度，不要奢求過多，也不要因小挫折而氣餒。
人生中難免會遇到不如意的事情，但我們需要冷靜分析，做出適當的選擇和取捨。放下過高的奢求，專注於當下的努力和提升，這樣才能在困境中找到出路，迎接新的機會。這段話提醒我們，面對現實、謹慎取捨，才是應對生活挑戰的關鍵。",,https://www.manekineko.com.tw/blog/yuelao12
13,"上
山窮水盡疑無路，
柳暗花明又一村。",,"在前方重重的山嶺中，當你感到已經無路可走之際，忽然出現了一個村莊。在心灰意冷、萬念俱灰的時候，峰迴路轉，帶來了一線生機，為你帶來了莫大的希望。這就是人的命運，你已經進入了好的境地，必定會有好運氣。
此籤描繪了在困境中出現轉機的情景，並提供了關於愛情的啟示。當你覺得愛情陷入困境、似乎無路可走時，這可能只是暫時的，轉機即將出現。不要放棄希望，相信下一個轉角可能會有花明柳暗的村莊在等待著你。在愛情中，困難和挑戰是無法避免的，但只要持續前行，就有可能迎來轉機和新的機會。",,https://www.manekineko.com.tw/blog/yuelao13
14,"上上
誰謂荼苦，
其甘如薺。
宴爾新婚，
如史如弟。",,"一個人的先入為主的觀念會影響對某物的喜愛與評價。例如，對於苦瓜或苦茶，儘管它們有苦味，但喜愛的人仍然會讚美它們的美味。選擇伴侶也是如此，愛情不應該有貴賤之分，應以愛為出發點，無論對方的社會地位或背景如何，都應該包容和關心。
在感情中，不要抱有先入為主的成見。真正的愛情應該超越貧富、階級和身份的差異，無論面對什麼困難，都能甘願付出而不抱怨。這樣的愛情能夠保持如新婚般的甜蜜。",,https://www.manekineko.com.tw/blog/yuelao14
15,"中
君子審禮，
不呆誣以奸詐。",,"君子行事一定要注重禮節，凡是知道言行失去禮節的，都要守正，不走歪門邪道。思想要高尚，格調要如冰清玉潔一般，這樣才會受人歡迎，且別人無法找到可乘之機來誣衊你。
簡單說，就是要保持高尚的品格和行為，不給別人誣衊你的機會，這樣才能贏得他人的尊重和信任。",,https://www.manekineko.com.tw/blog/yuelao15
16,"上上
意中人，
人中意，
則那些無情花鳥也情凝，
一般的解結枝頭學並棲。",,"這段話的意思是：只要盡力做好自己該做的事，必然會有好的結果。換句話說，當你和心愛的人真情流露時，連花鳥都會感受到這份情意。情到深處，自然而然會迎來好的緣分和機會。
總結來說，這段話強調了真情實意的重要性，只要用心對待，緣分和機會終會到來。",,https://www.manekineko.com.tw/blog/yuelao16
17,"中
德者本也，
財者未也。",,"古人說，一個人在世上最重要的事是立德、立言和立功。有德行的人不會看重財富。如果一個人有德行但卻重視財富，那他的德行就會隨之下降。財富是人生中必要的外在之物，但必須以正當的方式獲取，不應該貪取不義之財。因此，選擇女婿和妻子也應該依照這個原則。女婿應選擇品行端正的人，妻子應選擇賢淑的女子，千萬不要重財輕德，否則後果難以預料。
這段話強調了道德的重要性，無論是在選擇配偶還是在追求其他人生目標時，都應該將德行放在首位，避免被財富所迷惑。",,https://www.manekineko.com.tw/blog/yuelao17
18,"上
非獨內德茂也，
蓋亦以外感之助焉。",,"具有才能的人就像雄鷹藏爪一樣，不輕易展露自己的才華，因為他們學識豐富，品德高尚。然而，婚姻卻是不同的，如果心中喜歡對方，應該適度地展現自己的才能，來激發對方的信賴。隱瞞不露只會讓對方無所依據，甚至可能因此離開。
總結來說，這段話強調了在婚姻和愛情中，適度展示自己的優點是建立信任的關鍵，過度保留反而會造成障礙，甚至讓對方離去。",,https://www.manekineko.com.tw/blog/yuelao18
19,"中
或十年，
或七八年、
或五六年，
或三四年。",,"無論是五六年，還是三四年，這些都是時間的表示。你和她的緣分需要時間來成就，可能需要三四年，甚至六年、七八年，甚至十年不等。當提到這段緣分時，可能因為時間、空間、事業或學業的關係而分開。有了某種契機，可能會有急劇的轉變，但這樣的變化也可能會帶來不確定性，因此需要耐心等待。
總結來說，這段話強調了愛情和緣分需要時間和耐心，可能會有不確定的變化，但只要堅持，最終會有好的結果。",,https://www.manekineko.com.tw/blog/yuelao19
20,"上
何如，
子曰，
可也。",,"如果有人問：這樣的問題該如何解決？可以回答說：可以這樣做。問誰呢？可以請教我的師長，他們的建議可以作為你的指南，堅定地去做。婚姻也是如此，當下你正在交往的人是否合適，還是請教長輩，在他們的眼中，合適的人就可以接受。
簡單來說，這段話強調了向長輩和師長請教的重要性，無論是在解決問題還是選擇伴侶方面，他們的經驗和建議都是有價值的。",,https://www.manekineko.com.tw/blog/yuelao20
